movie_title,title_year,is_color,aspect_ratio,duration_in_mins,language,country,budget,gross,movie_facebook_likes,cast_total_facebook_likes,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name
Asterix at the Olympic Games,2008,1,2.35,116,French,France,78000000,,291,1609,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler
Class of 1984,1982,1,1.85,98,English,Canada,4300000,,934,1105,http://www.imdb.com/title/tt0083739/?ref_=fn_tt_tt_1,Mark L. Lester,Roddy McDowall,Perry King,Timothy Van Patten
School Daze,1988,1,1.85,121,English,USA,6500000,14545844,624,1284,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,Spike Lee,Tisha Campbell-Martin,Ossie Davis,Bill Nunn
Risen,2016,1,2.35,107,English,USA,20000000,36874745,21000,389,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,Kevin Reynolds,Peter Firth,Jan Cornet,María Botto
The Replacements,2000,1,1.85,118,English,USA,50000000,44737059,0,24024,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love
The Back-up Plan,2010,1,2.35,104,English,USA,35000000,37481242,0,3356,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley
Sugar Town,1999,1,,92,English,UK,250000,177840,93,1987,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,Allison Anders,Ally Sheedy,Rosanna Arquette,John Doe
Dreamgirls,2006,1,2.35,130,English,USA,70000000,103338338,0,2856,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,Bill Condon,Loretta Devine,Jennifer Hudson,Anika Noni Rose
The Great Gatsby,2013,1,2.35,143,English,Australia,105000000,144812796,230000,59539,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
Day of the Dead,1985,1,1.85,87,English,USA,3500000,,6000,3184,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato
Star Trek,2009,1,2.35,127,English,USA,150000000,257704099,19000,39284,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
No Good Deed,2014,1,2.35,84,English,USA,13200000,52543632,0,2297,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons
Serendipity,2001,1,1.85,82,English,USA,28000000,49968653,12000,37,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,Peter Chelsom,Lilli Lavine,David Sparrow,Ann Talman
Dear Frankie,2004,1,1.85,105,English,UK,,1340891,2000,18105,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone
The Hobbit: The Battle of the Five Armies,2014,1,2.35,164,English,New Zealand,250000000,255108370,65000,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
Deadfall,2012,1,2.35,95,English,USA,12000000,65804,0,27575,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,Stefan Ruzowitzky,Charlie Hunnam,Olivia Wilde,Sissy Spacek
The Mummy: Tomb of the Dragon Emperor,2008,1,2.35,112,English,USA,145000000,102176165,0,9131,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong
Girls Gone Dead,2012,1,2.35,104,English,USA,500000,,0,2102,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,Michael Hoffman Jr.,Vincent Chimato,John McGlothlin,Al Sapienza
Firestorm,2013,1,2.35,118,Mandarin,China,,,332,635,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,Alan Yuen,Andy Lau,Michael Wong,Terence Yin
Changing Lanes,2002,1,2.35,91,English,USA,45000000,66790248,0,758,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman
Wordplay,2006,1,1.66,94,English,USA,,3117666,694,382,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,Patrick Creadon,Ken Burns,Bill Clinton,Bob Dole
The Watch,2012,1,2.35,102,English,USA,68000000,34350553,30000,4974,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt
Platoon,1986,1,1.85,120,English,UK,6000000,137963328,9000,42028,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,Oliver Stone,Johnny Depp,Tom Berenger,Kevin Dillon
Perrier's Bounty,2009,1,2.35,88,English,Ireland,,828,663,2728,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,Ian Fitzgibbon,Jim Broadbent,Brendan Coyle,Michael McElhatton
The Other Dream Team,2012,1,,89,English,USA,500000,133778,0,44,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,Marius A. Markevicius,Tommy Sheppard,Greg Speirs,Mickey Hart
Les Misérables,2012,1,1.85,158,English,USA,61000000,148775460,144000,46204,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway
Don McKay,2009,1,1.85,87,English,USA,,,275,1227,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,Jake Goldberger,Pruitt Taylor Vince,M. Emmet Walsh,Robert Wahlberg
The Haunting,1999,1,2.35,113,English,USA,80000000,91188905,0,17786,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen
Waterworld,1995,1,1.85,176,English,USA,175000000,88246220,0,1004,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
Crimson Tide,1995,1,2.35,123,English,USA,53000000,91400000,0,30132,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder
Dream with the Fishes,1997,1,1.85,97,English,USA,1000000,464655,166,1692,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,Finn Taylor,David Arquette,Cathy Moriarty,Kathryn Erbe
The Longshots,2008,1,2.35,94,English,USA,23000000,11508423,376,2453,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,Fred Durst,Tasha Smith,Dash Mihok,Garrett Morris
Monster's Ball,2001,1,2.35,112,English,USA,4000000,31252964,0,13707,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown
Of Gods and Men,2010,1,2.35,122,French,France,4000000,3950029,0,416,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin
The Switch,2010,1,2.35,101,English,USA,19000000,27758465,0,1292,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett
For Your Eyes Only,1981,1,2.35,127,English,UK,28000000,62300000,2000,2118,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,John Glen,Julian Glover,Topol,Desmond Llewelyn
The Peanuts Movie,2015,1,1.85,88,English,USA,99000000,130174897,33000,309,http://www.imdb.com/title/tt2452042/?ref_=fn_tt_tt_1,Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez
Planet of the Apes,2001,1,2.35,119,English,USA,100000000,180011740,0,5552,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari
I Am Love,2009,1,1.85,120,Italian,Italy,10000000,5004648,0,474,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,Luca Guadagnino,Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher
"As Above, So Below",2014,1,1.85,93,English,USA,5000000,21197315,14000,1410,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks
The Evil Dead,1981,1,1.37,96,English,USA,375000,,12000,813,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,Sam Raimi,Ted Raimi,Betsy Baker,Ellen Sandweiss
Love and Other Catastrophes,1996,1,,76,English,Australia,250000,212285,46,1661,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,Emma-Kate Croghan,Radha Mitchell,Frances O'Connor,Matt Day
Cradle 2 the Grave,2003,1,2.35,101,English,USA,30000000,34604054,1000,6867,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,Andrzej Bartkowiak,Jet Li,Tom Arnold,DMX
But I'm a Cheerleader,1999,1,1.85,85,English,USA,1200000,2199853,0,4289,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,Jamie Babbit,Natasha Lyonne,Clea DuVall,Eddie Cibrian
Animals United,2010,1,2.39,93,German,Germany,,,885,3095,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,Reinhard Klooss,Jim Broadbent,Vanessa Redgrave,James Corden
Black Nativity,2013,1,2.35,93,English,USA,17500000,7017178,0,1373,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall
August: Osage County,2013,1,2.35,121,English,USA,25000000,37738400,30000,39690,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,John Wells,Benedict Cumberbatch,Meryl Streep,Julia Roberts
Frozen River,2008,1,1.85,97,English,USA,1000000,2508841,0,994,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,Courtney Hunt,Charlie McDermott,Michael O'Keefe,Misty Upham
"McFarland, USA",2015,1,2.35,129,English,USA,17000000,44469602,21000,952,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva
Saving Silverman,2001,1,1.85,96,English,USA,22000000,19351569,739,664,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,Dennis Dugan,Amanda Detmer,Neil Diamond,Kyle Gass
A Turtle's Tale: Sammy's Adventures,2010,1,2.35,88,English,France,,,0,3874,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach
Open Range,2003,1,2.35,139,English,USA,22000000,58328680,0,5458,http://www.imdb.com/title/tt0316356/?ref_=fn_tt_tt_1,Kevin Costner,Robert Duvall,Michael Jeter,Julian Richings
Aberdeen,2000,1,1.85,106,English,UK,6500000,64148,260,846,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,Hans Petter Moland,Charlotte Rampling,Sara-Marie Maltha,Stellan Skarsgård
Moonrise Kingdom,2012,1,1.85,94,English,USA,16000000,45507053,71000,27911,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban
Warrior,2011,1,2.35,140,English,USA,25000000,13651662,77000,29692,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,Gavin O'Connor,Tom Hardy,Frank Grillo,Kevin Dunn
Memoirs of a Geisha,2005,1,2.35,145,English,USA,85000000,57010853,0,2380,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,Rob Marshall,Li Gong,Mako,Karl Yune
Last Holiday,2006,1,2.35,112,English,USA,45000000,38360195,0,3757,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton
Woodstock,1970,1,2.2,215,English,USA,600000,13300000,0,778,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,Michael Wadleigh,Joe Cocker,Jimi Hendrix,Joan Baez
Prison,1987,1,1.85,102,English,USA,1300000,354704,314,11083,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,Renny Harlin,Viggo Mortensen,Lane Smith,Hal Landon Jr.
The Rise of the Krays,2015,,,110,English,UK,2500000,,0,881,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,Zackary Adler,Simon Merrells,Kevin Leslie,Kris Sommerville
The Pelican Brief,1993,1,2.35,141,English,USA,45000000,100768056,0,30063,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn
Fugly,2014,1,,134,Hindi,India,,,62,496,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia
Light Sleeper,1992,1,1.85,103,English,USA,5000000,1100000,247,1201,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,Paul Schrader,Dana Delany,Jane Adams,David Clennon
The November Man,2014,1,2.35,108,English,USA,15000000,24984868,0,3033,http://www.imdb.com/title/tt2402157/?ref_=fn_tt_tt_1,Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton
Prince of Persia: The Sands of Time,2010,1,2.35,116,English,USA,200000000,90755643,23000,16149,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
In Her Line of Fire,2006,1,1.85,88,English,Germany,1000000,721,42,1284,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,Brian Trenchard-Smith,David Keith,Mariel Hemingway,Jesse Hutch
Gulliver's Travels,2010,1,2.35,85,English,USA,112000000,42776259,0,1173,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,Rob Letterman,James Corden,Catherine Tate,Olly Alexander
Clean,2004,1,2.35,110,French,France,4500,136007,171,776,http://www.imdb.com/title/tt0388838/?ref_=fn_tt_tt_1,Olivier Assayas,Maggie Cheung,Béatrice Dalle,Don McKellar
The Passion of the Christ,2004,1,2.35,120,Aramaic,USA,30000000,499263,13000,705,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,Mel Gibson,Christo Jivkov,Maia Morgenstern,Hristo Shopov
The Ridiculous 6,2015,1,2.35,119,English,USA,,,0,36167,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz
You Will Meet a Tall Dark Stranger,2010,1,1.85,98,English,USA,22000000,3247816,0,19310,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner
Extraordinary Measures,2010,1,1.85,106,English,USA,31000000,11854694,0,17560,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck
At First Sight,1999,0,1.85,128,English,USA,60000000,22326247,0,3821,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber
Chocolat,2000,1,1.85,121,English,UK,25000000,71309760,18000,1323,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,Lasse Hallström,Lena Olin,Leslie Caron,Hugh O'Conor
Awake,2007,1,2.35,84,English,USA,8600000,14373825,0,6954,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,Joby Harold,Hayden Christensen,Fisher Stevens,Denis O'Hare
Bright Star,2009,1,1.85,119,English,UK,8500000,4440055,0,3279,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,Jane Campion,Abbie Cornish,Paul Schneider,Samuel Roukin
Snow White and the Huntsman,2012,1,2.35,132,English,USA,170000000,155111815,53000,72881,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin
Inescapable,2012,1,2.35,93,English,Canada,4000000,4063,657,242,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,Ruba Nadda,Saad Siddiqui,Bonnie Lee Bouman,Fadia Nadda
Scott Pilgrim vs. the World,2010,1,1.85,112,English,USA,60000000,31494270,36000,12687,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong
Sorcerer,1977,1,1.85,92,English,USA,12000000,,0,1011,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,William Friedkin,Roy Scheider,Joe Spinell,Amidou
Silmido,2003,1,2.35,135,Korean,South Korea,8000000,,387,97,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol
Inglourious Basterds,2009,1,2.35,153,English,USA,75000000,120523073,42000,36741,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz
This Is 40,2012,1,2.35,134,English,USA,35000000,67523385,18000,1050,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem
The Dictator,2012,1,2.35,99,English,USA,65000000,59617068,59000,1375,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz
Disclosure,1994,1,2.35,128,English,USA,55000000,83000000,0,3888,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia
Warm Bodies,2013,1,2.35,98,English,USA,35000000,66359959,81000,337,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,Jonathan Levine,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay
The Return of the Living Dead,1985,1,1.85,108,English,USA,4000000,,0,4040,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph
Across the Universe,2007,1,2.35,133,English,USA,45000000,24343673,28000,10810,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,Julie Taymor,Jim Sturgess,T.V. Carpio,Robert Clohessy
Into the Wild,2007,1,2.35,148,English,USA,15000000,18352454,76000,18752,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook
The Road,2009,1,2.35,111,English,USA,25000000,56692,32000,23566,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,John Hillcoat,Viggo Mortensen,Charlize Theron,Robert Duvall
The Village,2004,1,1.85,108,English,USA,60000000,114195633,0,7273,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt
Jack Brooks: Monster Slayer,2007,1,1.85,90,English,Canada,2500000,,870,558,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,Jon Knautz,Rachel Skarsten,Daniel Kash,Stefanie Drummond
Insomnia Manica,2005,1,1.33,127,English,USA,500000,,0,2,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,Daston Kalili,Daston Kalili,Rai Alexandra,Chin-Chien Chang
Shine a Light,2008,1,1.85,122,English,USA,,5355376,0,1218,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,Martin Scorsese,Mick Jagger,Keith Richards,Albert Maysles
Independence Daysaster,2013,1,,90,English,Canada,1800000,,566,984,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,W.D. Hogan,Tom Everett Scott,Keenan Tracey,Nicholas Carella
The Texas Chainsaw Massacre 2,1986,1,1.85,101,English,USA,4700000,8025872,0,302,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow
Soul Plane,2004,1,1.85,92,English,USA,16000000,13922211,0,3935,http://www.imdb.com/title/tt0367085/?ref_=fn_tt_tt_1,Jessy Terrero,Mo'Nique,Snoop Dogg,Tom Arnold
The Mighty,1998,1,1.85,100,English,USA,,2643689,0,2283,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,Peter Chelsom,Kieran Culkin,Elden Henson,Gena Rowlands
The Warlords,2007,1,2.35,113,Mandarin,Hong Kong,40000000,128978,0,6267,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau
Schindler's List,1993,0,1.85,185,English,USA,22000000,96067179,41000,15233,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall
Romance & Cigarettes,2005,1,2.35,105,English,USA,,540085,0,28004,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard
Princess Kaiulani,2009,1,2.35,97,English,USA,9000000,883887,0,1426,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,Marc Forby,Q'orianka Kilcher,Will Patton,Shaun Evans
The Blind Side,2009,1,1.85,129,English,USA,29000000,255950375,38000,3389,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens
Fight Club,1999,1,2.35,151,English,USA,63000000,37023395,48000,13209,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant
City by the Sea,2002,1,2.35,108,English,USA,60000000,22433915,416,34377,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,Michael Caton-Jones,Robert De Niro,James Franco,John Doman
The Social Network,2010,1,2.35,120,English,USA,40000000,96917897,74000,10555,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,David Fincher,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope
The Bucket List,2007,1,1.85,97,English,USA,45000000,93452056,22000,14868,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes
Never Back Down,2008,1,2.35,110,English,USA,20000000,24848292,0,4089,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,Jeff Wadlow,Djimon Hounsou,Neil Brown Jr.,Leslie Hope
While We're Young,2014,1,1.85,97,English,USA,10000000,7574066,0,6322,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,Noah Baumbach,Naomi Watts,Maria Dizzia,Dree Hemingway
Factory Girl,2006,1,1.85,99,English,USA,7000000,1654367,3000,6526,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,George Hickenlooper,Hayden Christensen,Jimmy Fallon,Beth Grant
Harold & Kumar Escape from Guantanamo Bay,2008,1,1.85,102,English,USA,12000000,38087366,0,4065,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,Jon Hurwitz,Danneel Ackles,Eric Winter,Beverly D'Angelo
Madadayo,1993,1,1.85,134,Japanese,Japan,11900000,48856,355,30,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao
The Ghastly Love of Johnny X,2012,0,2.35,106,English,USA,2000000,2436,655,1611,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,Paul Bunnell,Kate Maberly,Kevin McCarthy,Paul Williams
Out of Time,2003,1,2.35,114,English,USA,50000000,40905277,1000,19739,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley
Rampage,2009,1,2.35,80,English,Canada,,,0,3197,http://www.imdb.com/title/tt1337057/?ref_=fn_tt_tt_1,Uwe Boll,Matt Frewer,Katharine Isabelle,Michael Paré
The Devil Inside,2012,1,1.85,83,English,USA,1000000,53245055,12000,988,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,William Brent Bell,Fernanda Andrade,Claudiu Trandafir,Brian Johnson
My Boss's Daughter,2003,1,1.85,90,English,USA,14000000,15549702,411,3007,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,David Zucker,Carmen Electra,Tyler Labine,Molly Shannon
The Grey,2011,1,2.35,117,English,USA,25000000,51533608,32000,16606,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale
Mao's Last Dancer,2009,1,1.85,117,English,Australia,,4806750,0,1598,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young
Lifeforce,1985,1,2.35,101,English,UK,25000000,,0,1008,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,Tobe Hooper,Frank Finlay,Steve Railsback,Peter Firth
Southpaw,2015,1,2.35,124,English,USA,30000000,52418902,44000,16881,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence
Adore,2013,1,2.35,112,English,Australia,16000000,317125,0,25269,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,Anne Fontaine,Robin Wright,Naomi Watts,Ben Mendelsohn
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,1,1.85,88,English,USA,25000000,78656813,0,2501,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.
Ninja Assassin,2009,1,2.35,99,English,USA,40000000,38105077,0,701,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,James McTeigue,Shô Kosugi,Ben Miles,Rain
In Too Deep,1999,1,2.35,95,English,USA,7000000,14003141,375,4837,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,Michael Rymer,LL Cool J,Omar Epps,Nia Long
Taken,2008,1,2.35,93,English,France,25000000,145000989,29000,16461,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,Pierre Morel,Liam Neeson,Holly Valance,Xander Berkeley
Yentl,1983,1,1.85,132,English,UK,12000000,30400000,0,914,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,Barbra Streisand,Miriam Margolyes,Amy Irving,Steven Hill
Howards End,1992,1,2.35,140,English,UK,,25967000,788,13180,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,James Ivory,Anthony Hopkins,Vanessa Redgrave,Samuel West
Due Date,2010,1,2.35,95,English,USA,65000000,100448498,25000,23018,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh
Motherhood,2009,1,1.85,90,English,USA,5000000,92900,546,3146,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,Katherine Dieckmann,Stephanie Szostak,Minnie Driver,Anthony Edwards
Under the Rainbow,1981,1,1.78,98,English,USA,20000000,8500000,501,1761,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,Steve Rash,Mako,Adam Arkin,Billy Barty
The Boy Next Door,2015,1,2.35,91,English,USA,4000000,35385560,8000,4807,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks
